순위,상병기호,상병명,진료실인원,내원일수, 급여일수,진료비,급여비
71,H26,기타백내장,221262,542130,2977361,135840055,97265056
72,F32,우울에피소드,217335,1697882,36896287,111892716,82186679
73,J40,급성인지만성인지명시되지않은기관지염,216202,548258,5100591,28504766,20945156
74,E14,상세불명의당뇨병,210872,1217952,39169272,166485452,116857933
75,B02,대상포진,209355,790938,4908950,61126295,44392251
76,J45,천식,209108,925796,19090860,94793129,66394736
77,Z96,기타기능성삽입물의존재,205315,647724,2991474,40026929,28055436
78,M77,기타골부착부병증,201727,727211,4059139,29325530,21521945
79,G31,달리분류되지않은신경계통의기타퇴행성질환,201244,693701,25942673,67965802,49912990
80,S02,두개골및안면골의골절,199404,359785,726261,22632917,16070712
81,K30,기능성소화불량,192926,362932,4620543,18962730,13224239
82,L21,지루피부염,189000,434159,3387014,14738054,11400236
83,K07,치아얼굴이상[부정교합포함],187509,314518,1037564,11456486,8241588
84,N18,만성신장병,185265,6829004,48560246,1410562825,1223223845
85,K76,간의기타질환,182315,315620,5407353,39006955,26599406
86,I67,기타뇌혈관질환,180815,813394,26444501,229468459,171134816
87,H61,외이의기타장애,176670,288378,761156,11815157,8634736
88,I11,고혈압성심장병,176041,842650,40688748,115181593,78875946
89,I48,심방세동및조동,175031,842840,45669156,263513906,192495434
90,G44,기타두통증후군,173524,377893,6678070,39356667,24179093
91,L02,"피부의농양,종기및큰종기",172256,491694,2140224,21329827,16246748
92,H11,결막의기타장애,169548,287722,1182227,17724729,12658505
93,S22,"늑골,흉골및흉추의골절",165799,1251418,7467487,172010439,124614312
94,D12,"결장,직장,항문및항문관의양성신생물",163474,308711,3301525,76147268,50040700
95,S23,"흉곽의관절및인대의탈구,염좌및긴장",158774,337971,1678155,14952911,11036232
96,R73,혈당치상승,156796,265406,5090762,15667804,10659854
97,E03,기타갑상선기능저하증,155685,655518,35550810,58836073,38972676
98,F51,비기질성수면장애,154118,770540,17321346,35659322,26844049
99,T85,"기타내부인공삽입장치,삽입물및이식편의합병증",147525,207591,383623,19374038,14908373
100,N39,비뇨계통의기타장애,145193,694265,7171117,136525159,103277598
