연도,시도,병의원_종합병원,병의원_요양병원,병의원_일반병원,병의원_의원,특수병원_결핵,특수병원_한센,특수병원_정신,치과병원,치과의원,한방병 의원_한방병원,한방병 의원_한의원,부속의원,조산원
2022,충남 Chungnam,13,69,44,1086,0,0,17,11,591,13,507,15,0
2022,전북 Jeonbuk,14,84,61,1196,0,0,10,3,597,33,511,3,0
2022,전남 Jeonnam,26,82,70,960,1,1,11,6,508,26,371,12,0
2022,경북 Gyeongbuk,20,109,51,1289,0,0,26,13,686,7,626,23,1
2022,경남 Gyongnam,26,125,130,1691,1,0,29,20,935,19,791,11,1
2022,제주 Jeju,6,11,7,482,0,0,2,1,243,1,194,4,1
2023,서울 Seoul,56,110,230,9687,0,0,12,60,4868,86,3640,73,3
2023,부산 Busan,29,162,142,2592,0,0,23,25,1336,27,1140,10,1
2023,대구 Daegu,19,71,92,1982,0,0,16,13,937,18,898,7,0
2023,인천 Incheon,21,63,57,1767,0,0,18,11,991,48,683,7,1
2023,광주 Gwangju,25,63,78,1044,0,0,9,14,642,88,316,8,0
2023,대전 Daejeon,10,47,46,1107,0,0,7,7,550,17,499,13,1
2023,울산 Ulsan,9,38,34,628,0,0,6,4,389,7,274,10,0
2023,세종 Sejong,2,4,3,225,0,0,1,1,99,4,94,7,0
2023,경기 Gyeonggi,71,303,286,8075,0,0,50,43,4696,139,3304,53,5
2023,강원 Gangwon,16,31,36,797,0,0,9,3,435,6,381,7,0
2023,충북 Chungbuk,13,38,35,929,0,0,12,4,473,11,409,11,1
2023,충남 Chungnam,13,68,46,1101,0,0,17,11,607,13,514,15,0
2023,전북 Jeonbuk,14,80,60,1216,0,0,10,3,605,35,504,3,0
2023,전남 Jeonnam,26,80,71,960,1,1,11,6,512,28,358,12,0
2023,경북 Gyeongbuk,21,107,52,1282,0,0,26,11,695,8,619,22,1
2023,경남 Gyongnam,26,119,126,1704,1,0,29,22,945,24,781,12,1
2023,제주 Jeju,6,11,8,498,0,0,2,1,243,1,196,4,1
